date,total_calls,dayofweek,month,is_weekend,is_holiday,lag1,rolling7_mean,rolling7_std
2024-08-07,8672,2,8,False,False,9494.0,8803.857142857143,917.9935418384721
2024-08-08,8192,3,8,False,False,8672.0,8706.857142857143,945.1870059361142
2024-08-09,9790,4,8,False,False,8192.0,8860.857142857143,1030.1642957268884
2024-08-10,8587,5,8,True,False,9790.0,8999.857142857143,889.993338658859
2024-08-11,9466,6,8,True,False,8587.0,9220.142857142857,760.7746991436703
2024-08-12,9720,0,8,False,False,9466.0,9131.57142857143,634.2359858241136
2024-08-13,9214,1,8,False,False,9720.0,9091.57142857143,616.1400969321983
2024-08-14,9312,2,8,False,False,9214.0,9183.0,590.4526512205132
2024-08-15,8840,3,8,False,False,9312.0,9275.57142857143,441.094795987913
2024-08-16,9221,4,8,False,False,8840.0,9194.285714285714,378.4788476193055
2024-08-17,8191,5,8,True,False,9221.0,9137.714285714286,495.7925353363417
2024-08-18,7436,6,8,True,False,8191.0,8847.714285714286,782.5408858936622
2024-08-19,9419,0,8,False,False,7436.0,8804.714285714286,733.344328921895
2024-08-20,9204,1,8,False,False,9419.0,8803.285714285714,732.4233098160548
2024-08-21,8862,2,8,False,False,9204.0,8739.0,699.3320622803828
2024-08-22,9006,3,8,False,False,8862.0,8762.714285714286,706.1094613645758
2024-08-23,8838,4,8,False,False,9006.0,8708.0,678.9980363250936
2024-08-24,8590,5,8,True,False,8838.0,8765.0,644.2207178703068
2024-08-25,8616,6,8,True,False,8590.0,8933.57142857143,301.98446822248957
2024-08-26,8992,0,8,False,False,8616.0,8872.57142857143,219.42869543647444
2024-08-27,9099,1,8,False,False,8992.0,8857.57142857143,195.2535592017544
2024-08-28,8839,2,8,False,False,9099.0,8854.285714285714,195.3601070550793
2024-08-29,8900,3,8,False,False,8839.0,8839.142857142857,185.49971120501368
2024-08-30,8519,4,8,False,False,8900.0,8793.57142857143,221.51512901143542
2024-08-31,8653,5,8,True,False,8519.0,8802.57142857143,212.98110803766824
2024-09-01,9075,6,9,True,False,8653.0,8868.142857142857,216.5936507005922
2024-09-02,8538,0,9,False,True,9075.0,8803.285714285714,240.02966086556614
2024-09-03,9938,1,9,False,False,8538.0,8923.142857142857,490.79100391491505
2024-09-04,9516,2,9,False,False,9938.0,9019.857142857143,536.0626296032428
2024-09-05,9673,3,9,False,False,9516.0,9130.285714285714,584.6719063673562
2024-09-06,10289,4,9,False,False,9673.0,9383.142857142857,654.7822611554235
2024-09-07,9572,5,9,True,False,10289.0,9514.42857142857,570.7225996176118
2024-09-08,9954,6,9,True,False,9572.0,9640.0,554.3906564869202
2024-09-09,9970,0,9,False,False,9954.0,9844.57142857143,272.5324794973071
2024-09-10,9789,1,9,False,False,9970.0,9823.285714285714,269.8244579263263
2024-09-11,9005,2,9,False,False,9789.0,9750.285714285714,403.0499201032495
2024-09-12,10716,3,9,False,False,9005.0,9899.285714285714,539.4317115526018
2024-09-13,10769,4,9,False,False,10716.0,9967.857142857143,621.4942822401032
2024-09-14,10562,5,9,True,False,10769.0,10109.285714285714,628.996479663098
2024-09-15,14377,6,9,True,False,10562.0,10741.142857142857,1720.8712356024225
2024-09-16,12529,0,9,False,False,14377.0,11106.714285714286,1799.7528269446439
2024-09-17,9813,1,9,False,False,12529.0,11110.142857142857,1796.844681524758
2024-09-18,9499,2,9,False,False,9813.0,11180.714285714286,1707.8835551919922
2024-09-19,9821,3,9,False,False,9499.0,11052.857142857143,1780.4320101753797
2024-09-20,9668,4,9,False,False,9821.0,10895.57142857143,1856.6866417665333
2024-09-21,9066,5,9,True,False,9668.0,10681.857142857143,1983.2656931243002
2024-09-22,10780,6,9,True,False,9066.0,10168.0,1162.4158750923305
2024-09-23,12992,0,9,False,False,10780.0,10234.142857142857,1321.4445919234795
2024-09-24,9461,1,9,False,False,12992.0,10183.857142857143,1346.5995975754922
2024-09-25,9110,2,9,False,False,9461.0,10128.285714285714,1386.993476827453
2024-09-26,8999,3,9,False,False,9110.0,10010.857142857143,1450.6803494190153
2024-09-27,9731,4,9,False,False,8999.0,10019.857142857143,1448.3923764610458
2024-09-28,7202,5,9,True,False,9731.0,9753.57142857143,1785.1779423111532
2024-09-29,7519,6,9,True,False,7202.0,9287.714285714286,1894.8067372237633
2024-09-30,10084,0,9,False,False,7519.0,8872.285714285714,1098.9409620608496
2024-10-01,9174,1,10,False,False,10084.0,8831.285714285714,1078.4794410473905
2024-10-02,9258,2,10,False,False,9174.0,8852.42857142857,1086.2766463387397
2024-10-03,8614,3,10,False,False,9258.0,8797.42857142857,1087.3646823310655
2024-10-04,9790,4,10,False,False,8614.0,8805.857142857143,1096.001585852166
2024-10-05,10232,5,10,True,False,9790.0,9238.714285714286,944.923756057543
2024-10-06,8521,6,10,True,False,10232.0,9381.857142857143,679.6509958724898
2024-10-07,9743,0,10,False,False,8521.0,9333.142857142857,631.4481843538709
2024-10-08,9110,1,10,False,False,9743.0,9324.0,634.5919949069563
2024-10-09,8816,2,10,False,False,9110.0,9260.857142857143,663.5813008645836
2024-10-10,9177,3,10,False,False,8816.0,9341.285714285714,603.5129698373478
2024-10-11,9518,4,10,False,False,9177.0,9302.42857142857,578.0256214456323
2024-10-12,8040,5,10,True,False,9518.0,8989.285714285714,584.2224788228298
2024-10-13,8918,6,10,True,False,8040.0,9046.0,549.4193905084296
2024-10-14,8156,0,10,False,True,8918.0,8819.285714285714,541.2432337639184
2024-10-15,11494,1,10,False,False,8156.0,9159.857142857143,1155.8059855315098
2024-10-16,10661,2,10,False,False,11494.0,9423.42857142857,1269.1353824740722
2024-10-17,10150,3,10,False,False,10661.0,9562.42857142857,1290.7465355551458
2024-10-18,9559,4,10,False,False,10150.0,9568.285714285714,1290.6043434874082
2024-10-19,8795,5,10,True,False,9559.0,9676.142857142857,1167.2502486001604
2024-10-20,8739,6,10,True,False,8795.0,9650.57142857143,1188.396518723561
2024-10-21,10021,0,10,False,False,8739.0,9917.0,989.9749155071195
2024-10-22,9985,1,10,False,False,10021.0,9701.42857142857,715.6232381970369
2024-10-23,9279,2,10,False,False,9985.0,9504.0,585.5940004246338
2024-10-24,8426,3,10,False,False,9279.0,9257.714285714286,629.5095218463564
2024-10-25,8768,4,10,False,False,8426.0,9144.714285714286,637.3587985548071
2024-10-26,9276,5,10,True,False,8768.0,9213.42857142857,619.0371171270283
2024-10-27,9413,6,10,True,False,9276.0,9309.714285714286,584.3930510326325
2024-10-28,12029,0,10,False,False,9413.0,9596.57142857143,1180.5132862647558
2024-10-29,11468,1,10,False,False,12029.0,9808.42857142857,1378.3355732117445
2024-10-30,10138,2,10,False,False,11468.0,9931.142857142857,1361.4798846073613
2024-10-31,10129,3,10,False,False,10138.0,10174.42857142857,1188.9169941789964
2024-11-01,9397,4,11,False,False,10129.0,10264.285714285714,1084.049155448485
2024-11-02,9472,5,11,True,False,9397.0,10292.285714285714,1056.4480921600332
2024-11-03,8895,6,11,True,False,9472.0,10218.285714285714,1142.9076536456944
2024-11-04,11499,0,11,False,False,8895.0,10142.57142857143,1013.1503437533937
2024-11-05,8373,1,11,False,True,11499.0,9700.42857142857,1013.6593538828907
2024-11-06,8611,2,11,False,False,8373.0,9482.285714285714,1066.71719374376
2024-11-07,8713,3,11,False,False,8611.0,9280.0,1057.8624674313708
2024-11-08,8878,4,11,False,False,8713.0,9205.857142857143,1066.4483779616946
2024-11-09,8702,5,11,True,False,8878.0,9095.857142857143,1074.1052755000917
2024-11-10,8101,6,11,True,False,8702.0,8982.42857142857,1138.8259827768252
2024-11-11,7613,0,11,False,True,8101.0,8427.285714285714,440.92051977865293
2024-11-12,10220,1,11,False,False,7613.0,8691.142857142857,805.1913703319976
2024-11-13,10569,2,11,False,False,10220.0,8970.857142857143,1069.442444854853
2024-11-14,10633,3,11,False,False,10569.0,9245.142857142857,1226.9095903354614
2024-11-15,9348,4,11,False,False,10633.0,9312.285714285714,1216.283370804364
2024-11-16,8070,5,11,True,False,9348.0,9222.0,1290.3381985613898
2024-11-17,7907,6,11,True,False,8070.0,9194.285714285714,1320.1668725689783
2024-11-18,11608,0,11,False,False,7907.0,9765.0,1384.5933217615425
2024-11-19,13855,1,11,False,False,11608.0,10284.285714285714,2087.1057882696255
